IATA,Capacity
MA6,
762,
763,
SF3,
764,
77X,
75T,
PAG,
E70,
E75,
CRA,
345,
346,
340,
342,
343,
717,
767,
BNI,
330,
DC9,
PA1,
PA2,
76W,
76F,
73H,
32B,
319,
318,
EMB,
313,
BEC,
310,
CNT,
EMJ,
AN4,
32A,
CRJ,
CRK,
BET,
S76,
F28,
773,
SH6,
772,
YK2,
J31,
J32,
YK4,
I14,
380,
A40,
388,
T20,
100,
CR2,
787,
CR7,
SFB,
CR9,
788,
BE9,
EM2,
BE1,
BEH,
PL2,
M1F,
TU3,
TU5,164
333,293
332,262
ATR,76
ATP,64
744,455
75W,174
L4T,19
747,455
D93,100
733,144
732,109
735,126
734,153
737,147
736,131
739,203
738,186
DHL,10
753,228
D28,7
73C,144
757,174
73G,130
FRJ,33
73J,163
73M,144
73N,158
73Q,116
73R,126
73W,120
F70,
33X,
M90,
M11,
AT7,
AT4,
AT5,
D1C,
SU9,
IL9,
AR1,
SWM,
D38,
752,
AR8,
YN2,
J41,
ERD,
E90,
E95,
A58,
BH2,
ERJ,
77W,
CN2,
M88,
CN1,
M87,
BNT,
M82,
M83,
M80,
320,
321,
AB4,
AB6,
DH8,
DH7,
77L,
DH4,
DH3,
DH2,
DH1,
146,
32C,
777,
A81,
142,
143,
F50,
141,
NDE,
32S,
S20,53
CNC,3
CNA,5
DHT,20
CNJ,12
DHP,7
ER4,50
ER3,37
74Y,524
74E,524
74H,467
ARJ,128
YN7,50
74L,343
74M,524
74N,605
