Airport	Sentiment
Dzaoudzi Pamandzi International Airport	5.605165685425686
Ouani Airport	5.605412113997115
Prince Said Ibrahim International Airport	5.617421637806638
Mohéli Bandar Es Eslam Airport	5.617421637806638
Southdowns Airport	5.620871637806637
Mongu Airport	5.625657748917749
Simon Mwansa Kapwepwe International Airport	5.625657748917749
Roland Garros Airport	5.631222034632036
Pierrefonds Airport	5.631222034632036
Kenneth Kaunda International Airport Lusaka	5.744966595071594
Mfuwe Airport	5.745041595071594
Livingstone Airport	5.749206595071595
Jwaneng Airport	5.757949957264958
Tiko Airport	5.765938261738263
Ysterplaat Air Force Base	5.768101385836385
Francistown Airport	5.770496623931623
Salak Airport	5.7716977061827075
Foumban Nkounja Airport	5.7716977061827075
N'Gaoundéré Airport	5.7716977061827075
Douala International Airport	5.772982706182706
Carlisle Airport	5.773603306415807
Retford Gamston Airport	5.773603306415807
Blackpool International Airport	5.773603306415807
Humberside Airport	5.773603306415807
Barrow Walney Island Airport	5.773603306415807
Zeerust Airport	5.773704957264957
RNAS Yeovilton	5.774367047397047
Haverfordwest Airport	5.774367047397047
Garoua International Airport	5.775284372849374
Bafoussam Airport	5.775284372849374
Bamenda Airport	5.775284372849374
Yaoundé Airport	5.775509372849373
Kasompe Airport	5.775509372849373
Jersey Airport	5.777641921134421
Shoreham Airport	5.777641921134421
London Biggin Hill Airport	5.777641921134421
London Gatwick Airport	5.777641921134421
London City Airport	5.777641921134421
Farnborough Airport	5.777641921134421
Chalgrove Airport	5.777641921134421
Blackbushe Airport	5.777641921134421
London Heathrow Airport	5.777641921134421
Cardiff International Airport	5.778604421134421
Swansea Airport	5.778604421134421
Bristol Airport	5.778604421134421
Liverpool John Lennon Airport	5.778604421134421
London Luton Airport	5.778604421134421
Plymouth City Airport	5.778604421134421
Bournemouth Airport	5.778604421134421
Southampton Airport	5.778604421134421
Lasham Airport	5.778604421134421
Alderney Airport	5.778604421134421
Guernsey Airport	5.778604421134421
Leeds Bradford Airport	5.779769973082473
Warton Airport	5.779769973082473
Hawarden Airport	5.779769973082473
Isle of Man Airport	5.779769973082473
Durham Tees Valley Airport	5.779769973082473
East Midlands Airport	5.779769973082473
